ensembl_id,gene_name,baseMean,TP317_300_vs_CONTR_log2FC,TP317_300_vs_CONTR_pvalue,TP317_300_vs_CONTR_padj
ENSMUSG00000036752,Tubb4b,24739.97967708576,-0.2207574951200046,0.24174669358473933,0.9896287216067934
ENSMUSG00000024393,Prrc2a,24744.093861345576,0.26592295535135596,0.448701775501245,0.9896287216067934
ENSMUSG00000022234,Cct5,24331.866138626716,-0.2606295153335001,0.18862863434041421,0.9896287216067934
ENSMUSG00000020914,Top2a,24839.422075319286,0.031582973142832364,0.7824060864410867,0.9896287216067934
ENSMUSG00000048126,Col6a3,24276.369049484445,-0.08585346913768385,0.8198418958550606,0.9896287216067934
ENSMUSG00000022587,Ly6e,23904.540534084666,0.19812610466044672,0.18061135227338254,0.9896287216067934
ENSMUSG00000056737,Capg,23881.64701464275,-0.23769132513194152,0.23111098291292342,0.9896287216067934
ENSMUSG00000048758,Rpl29,23490.359622352487,0.033125059110550116,0.8399029746270464,0.9896287216067934
ENSMUSG00000057113,Npm1,23478.61526236906,-0.029138987724887676,0.8110825893851128,0.9896287216067934
ENSMUSG00000020048,Hsp90b1,23025.187199808366,-0.0017576894885284837,0.9891072505991875,0.9960393210961084
ENSMUSG00000025794,Rpl14,23104.534609666727,-0.05706519779418992,0.5990837260055237,0.9896287216067934
ENSMUSG00000004897,Hdgf,22904.50557951105,0.20542162576911246,0.16339946016987417,0.9896287216067934
ENSMUSG00000004044,Cavin1,22848.507544054068,0.12111847009335684,0.4447690798136701,0.9896287216067934
ENSMUSG00000023456,Tpi1,21023.766180640716,0.04186353392317236,0.7895826878575628,0.9896287216067934
ENSMUSG00000005397,Nid1,22790.227301452443,0.31903081691107327,0.3224465787834949,0.9896287216067934
ENSMUSG00000040945,Rcc2,22659.318917179946,0.19572287437312239,0.2613472827077806,0.9896287216067934
ENSMUSG00000022285,Ywhaz,22487.01982317962,0.0746642215462138,0.3845325681867581,0.9896287216067934
ENSMUSG00000022108,Itm2b,22383.16651274348,-0.25314650369820324,0.09430458492664756,0.9896287216067934
ENSMUSG00000022346,Myc,22325.759176626805,0.1490979152044634,0.3202565907314847,0.9896287216067934
ENSMUSG00000015143,Actn1,22550.783225210937,0.2065550558934179,0.390629057888656,0.9896287216067934
ENSMUSG00000046364,Rpl27a,21870.097563599942,-0.1885648717362361,0.25329431698255356,0.9896287216067934
ENSMUSG00000025290,Rps24,21603.083326997672,-0.40817731402736435,0.08889909299270703,0.9896287216067934
ENSMUSG00000062997,Rpl35,21649.728987083654,-0.3502080149222234,0.14844923178273212,0.9896287216067934
ENSMUSG00000001506,Col1a1,10303.196646755265,0.4222946256031403,0.6585772797628493,0.9896287216067934
ENSMUSG00000025362,Rps26,21852.476526440096,-0.14376683593387934,0.29561064295036266,0.9896287216067934
ENSMUSG00000057738,Sptan1,22430.896688645,0.2246420860822263,0.4957417085158409,0.9896287216067934
ENSMUSG00000006699,Cdc42,21571.388814435824,-0.19055475503453825,0.21561132657226179,0.9896287216067934
ENSMUSG00000047215,Rpl9,21332.09657152749,-0.4608930357680365,0.08516062748383595,0.9896287216067934
ENSMUSG00000059291,Rpl11,21154.105770791124,-0.09558906097975216,0.5404118002579085,0.9896287216067934
ENSMUSG00000041841,Rpl37,21078.344885712733,-0.25441812019657717,0.11214578423294239,0.9896287216067934
ENSMUSG00000037563,Rps16,20840.452867345513,-0.2562235135281362,0.17160664180498852,0.9896287216067934
ENSMUSG00000034088,Hdlbp,21060.577722348935,0.12480163944803196,0.4604886680098924,0.9896287216067934
ENSMUSG00000028465,Tln1,21552.532251874625,0.23491235148694684,0.49516350178910506,0.9896287216067934
ENSMUSG00000063316,Rpl27,20513.61386355757,-0.2431202931723339,0.27162351167095944,0.9896287216067934
ENSMUSG00000054808,Actn4,21168.568695423,0.1497515994387584,0.42020208748138754,0.9896287216067934
ENSMUSG00000054452,Aes,20494.957058927772,-0.032460818912385,0.7522695914036641,0.9896287216067934
ENSMUSG00000029622,Arpc1b,20736.54511656097,-0.09241291670581357,0.4115829990471763,0.9896287216067934
ENSMUSG00000029581,Fscn1,20556.759664959685,0.17942038545565503,0.3392565871761649,0.9896287216067934
