ensembl_id,gene_name,baseMean,TP317_vs_CONTR_log2FC,TP317_vs_CONTR_pvalue,TP317_vs_CONTR_padj
ENSMUSG00000048578,Mlec,25549.58490387937,0.018248000731307203,0.8943830299925508,0.9694873051589354
ENSMUSG00000025016,Tm9sf3,25206.965743710247,0.11342091455481941,0.47425452056458894,0.7828824941632361
ENSMUSG00000020719,Ddx5,25467.58728648645,-0.02833720532888503,0.7289644578715865,0.9102421596046991
ENSMUSG00000022285,Ywhaz,25144.88713006176,0.13573340525259345,0.26783315385683504,0.634068761787186
ENSMUSG00000028639,Ybx1,25211.88600721983,0.06842438182415221,0.48665324979680435,0.7905179041562167
ENSMUSG00000034807,Colgalt1,25381.499030593153,-0.2830873309378269,0.05365640583178174,0.35761325069151423
ENSMUSG00000028691,Prdx1,24961.63203390144,0.1572844483626514,0.13791212321411142,0.507832509701676
ENSMUSG00000038900,Rpl12,25043.935255556364,0.107832672928524,0.38630942470594676,0.7255005702899675
ENSMUSG00000005087,Cd44,24313.595196317692,0.40306794534781026,0.045417110430174754,0.33809567068664015
ENSMUSG00000022010,Tsc22d1,24726.309266480836,0.07760159769987536,0.4213500159783523,0.750167187030619
ENSMUSG00000027800,Tm4sf1,24286.743221046578,0.28282524877206194,0.06824822906457592,0.39194898070001044
ENSMUSG00000045983,Eif4g1,24393.018541069865,-0.03169969665388304,0.7973750705027658,0.9349649472593382
ENSMUSG00000017466,Timp2,24336.511540817042,0.15827896396515098,0.11285297529334616,0.4710680499188429
ENSMUSG00000008682,Rpl10,24376.73554532936,0.030463491609202992,0.7282389533322735,0.9099911516654089
ENSMUSG00000021546,Hnrnpk,23857.367365239512,0.13094090753353282,0.22766319333366947,0.6012294476324779
ENSMUSG00000031375,Bgn,23597.53426126976,0.4958567125943426,0.03898531855074681,0.31994395973176615
ENSMUSG00000031447,Lamp1,23868.573607901777,0.10039741304670974,0.17837403558932707,0.5552639023864295
ENSMUSG00000034088,Hdlbp,23808.8416777489,-0.04167834556387762,0.7306233035277476,0.9110647678414026
ENSMUSG00000015647,Lama5,24101.113675608165,-0.23333441307779046,0.14198854466135816,0.5141592037436916
ENSMUSG00000057738,Sptan1,23969.372476478966,-0.16158542927748967,0.12080726545814878,0.4840654841644078
ENSMUSG00000026547,Tagln2,23708.679437577335,0.02570426369787869,0.7893385717513666,0.9334442085583436
ENSMUSG00000047675,Rps8,23529.79773864991,0.15665273826607473,0.0859561059594407,0.4251600744342112
ENSMUSG00000025290,Rps24,23634.46250537613,0.08751508921523334,0.5689074196218082,0.8396732988715112
ENSMUSG00000050708,Ftl1,23292.87026668298,0.3199668484831813,0.007961585408953092,0.1792854032039476
ENSMUSG00000070047,Fat1,22989.127468923794,-0.13219817695885444,0.27096272131793775,0.6368769459167815
ENSMUSG00000039630,Hnrnpu,22736.92447220735,-0.007574786952832098,0.939956133380174,0.9843358623911591
ENSMUSG00000036606,Plxnb2,23075.226885783122,-0.2831244534342401,0.01882536310219013,0.24192200599288913
ENSMUSG00000076258,Gm23935,22717.44411021593,0.08536378412812627,0.6635561132874599,0.8838251813499716
ENSMUSG00000079523,Tmsb10,22441.012659948497,0.21519053327526955,0.16696556330628798,0.5443472658307253
ENSMUSG00000030122,Ptms,22340.32325720201,0.13884106553438452,0.24067691755830456,0.6114527463407831
ENSMUSG00000064373,Selenop,22668.964691865945,-0.16386096863974245,0.5355346270433212,0.8215916050831619
ENSMUSG00000069833,Ahnak,22315.8779985733,-0.08067936723368958,0.48094939288135086,0.7872470730765037
ENSMUSG00000052837,Junb,22140.84837322283,0.07284929923407289,0.5941638583224915,0.8534455409561477
